date,temp_max,temp_min,precipitation,rainy_day,event_count,wildfire_count,storm_count,event_day,is_weekend
2023-12-31,0.0,0.0,0.0,0,2.0,0.0,2.0,1,1
2024-01-01,0.6,-2.4,2.2,0,4.0,0.0,4.0,1,0
2024-01-02,3.0,-3.1,0.0,0,4.0,0.0,4.0,1,0
2024-01-03,3.3,-1.3,0.3,0,4.0,0.0,4.0,1,0
2024-01-04,1.1,-6.3,0.0,0,1.0,0.0,1.0,1,0
2024-01-05,0.2,-6.4,0.0,0,0.0,0.0,0.0,0,0
2024-01-06,1.8,-2.0,1.0,0,0.0,0.0,0.0,0,1
2024-01-07,1.0,-4.3,5.0,0,0.0,0.0,0.0,0,1
2024-01-08,3.7,-3.1,0.2,0,0.0,0.0,0.0,0,0
2024-01-09,4.0,0.8,21.0,1,0.0,0.0,0.0,0,0
2024-01-10,6.3,-0.1,11.7,1,0.0,0.0,0.0,0,0
2024-01-11,2.2,-0.9,3.9,0,0.0,0.0,0.0,0,0
2024-01-12,2.8,-3.5,0.0,0,2.0,0.0,2.0,1,0
2024-01-13,5.8,-2.4,16.2,1,4.0,0.0,4.0,1,1
2024-01-14,-2.6,-7.1,0.0,0,4.0,0.0,4.0,1,1
2024-01-15,-7.4,-13.8,0.0,0,7.0,0.0,7.0,1,0
2024-01-16,-5.8,-11.1,1.7,0,8.0,0.0,8.0,1,0
2024-01-17,-7.3,-14.1,0.0,0,8.0,0.0,8.0,1,0
2024-01-18,-2.8,-9.6,0.0,0,8.0,0.0,8.0,1,0
2024-01-19,-4.0,-11.2,0.1,0,5.0,0.0,5.0,1,0
2024-01-20,-7.2,-14.6,0.1,0,4.0,0.0,4.0,1,1
2024-01-21,-1.3,-9.9,0.2,0,5.0,1.0,4.0,1,1
2024-01-22,-0.3,-6.4,0.3,0,4.0,0.0,4.0,1,0
2024-01-23,1.0,-3.2,4.4,0,8.0,0.0,8.0,1,0
2024-01-24,2.2,0.5,8.0,1,8.0,0.0,8.0,1,0
2024-01-25,3.7,0.5,4.1,0,12.0,0.0,12.0,1,0
2024-01-26,6.8,1.2,26.9,1,12.0,0.0,12.0,1,0
2024-01-27,4.8,0.5,0.0,0,10.0,0.0,10.0,1,1
2024-01-28,3.2,-0.3,1.2,0,8.0,0.0,8.0,1,1
2024-01-29,4.2,-1.1,0.0,0,8.0,0.0,8.0,1,0
2024-01-30,2.5,-2.8,0.2,0,8.0,0.0,8.0,1,0
2024-01-31,5.0,-2.0,0.0,0,10.0,0.0,10.0,1,0
2024-02-01,4.9,1.3,0.1,0,9.0,0.0,9.0,1,0
2024-02-02,3.1,-1.2,0.2,0,5.0,0.0,5.0,1,0
2024-02-03,2.2,-5.4,0.0,0,0.0,0.0,0.0,0,1
2024-02-04,4.5,-4.8,0.0,0,0.0,0.0,0.0,0,1
2024-02-05,3.8,-1.8,0.0,0,2.0,0.0,2.0,1,0
2024-02-06,2.5,-3.8,0.0,0,4.0,0.0,4.0,1,0
2024-02-07,4.3,-1.6,0.0,0,8.0,0.0,8.0,1,0
2024-02-08,4.8,-2.2,0.0,0,10.0,1.0,9.0,1,0
2024-02-09,13.4,1.6,1.0,0,4.0,0.0,4.0,1,0
2024-02-10,10.1,2.2,0.0,0,4.0,0.0,4.0,1,1
2024-02-11,4.4,-2.0,0.0,0,2.0,0.0,2.0,1,1
2024-02-12,3.5,-2.5,0.3,0,0.0,0.0,0.0,0,0
2024-02-13,5.0,-4.0,0.9,0,0.0,0.0,0.0,0,0
2024-02-14,0.8,-6.8,0.0,0,1.0,1.0,0.0,1,0
2024-02-15,0.2,-6.8,5.4,1,4.0,0.0,4.0,1,0
2024-02-16,0.8,-3.8,0.6,0,12.0,0.0,12.0,1,0
2024-02-17,-2.8,-7.6,0.4,0,9.0,0.0,9.0,1,1
2024-02-18,1.0,-6.3,0.5,0,8.0,0.0,8.0,1,1
2024-02-19,-1.0,-12.4,0.4,0,12.0,0.0,12.0,1,0
2024-02-20,3.3,-5.9,0.0,0,9.0,1.0,8.0,1,0
2024-02-21,8.2,-3.1,0.0,0,8.0,0.0,8.0,1,0
2024-02-22,8.9,2.0,3.2,0,8.0,0.0,8.0,1,0
2024-02-23,10.5,-2.5,0.0,0,8.0,0.0,8.0,1,0
2024-02-24,-3.2,-12.9,0.0,0,9.0,6.0,3.0,1,1
2024-02-25,4.8,-7.8,0.1,0,2.0,2.0,0.0,1,1
2024-02-26,6.9,-1.5,0.7,0,12.0,12.0,0.0,1,0
2024-02-27,13.1,0.7,0.1,0,1.0,1.0,0.0,1,0
2024-02-28,15.0,-3.7,6.5,1,6.0,6.0,0.0,1,0
2024-02-29,-2.5,-6.1,0.0,0,3.0,3.0,0.0,1,0
2024-03-01,7.2,-5.7,0.0,0,3.0,3.0,0.0,1,0
2024-03-02,6.6,2.2,2.0,0,3.0,3.0,0.0,1,1
2024-03-03,7.7,2.9,0.0,0,2.0,2.0,0.0,1,1
2024-03-04,11.8,2.6,0.0,0,1.0,1.0,0.0,1,0
2024-03-05,14.9,5.0,2.6,0,2.0,2.0,0.0,1,0
2024-03-06,11.4,5.4,1.7,0,2.0,2.0,0.0,1,0
2024-03-07,8.6,-0.1,0.3,0,0.0,0.0,0.0,0,0
2024-03-08,7.1,0.9,0.0,0,0.0,0.0,0.0,0,0
2024-03-09,9.4,6.2,15.7,1,0.0,0.0,0.0,0,1
2024-03-10,5.8,-0.9,0.1,0,2.0,1.0,1.0,1,1
2024-03-11,8.0,-1.5,0.2,0,8.0,0.0,8.0,1,0
2024-03-12,11.1,0.0,0.0,0,10.0,2.0,8.0,1,0
2024-03-13,19.2,5.3,0.5,0,8.0,0.0,8.0,1,0
2024-03-14,11.1,1.1,4.2,0,7.0,3.0,4.0,1,0
2024-03-15,11.6,4.0,13.5,1,9.0,1.0,8.0,1,0
2024-03-16,8.9,-3.0,0.2,0,10.0,2.0,8.0,1,1
