date,event_count,wildfire_count,storm_count
2023-12-31,2,0,2
2024-01-01,4,0,4
2024-01-02,4,0,4
2024-01-03,4,0,4
2024-01-04,1,0,1
2024-01-12,2,0,2
2024-01-13,4,0,4
2024-01-14,4,0,4
2024-01-15,7,0,7
2024-01-16,8,0,8
2024-01-17,8,0,8
2024-01-18,8,0,8
2024-01-19,5,0,5
2024-01-20,4,0,4
2024-01-21,5,1,4
2024-01-22,4,0,4
2024-01-23,8,0,8
2024-01-24,8,0,8
2024-01-25,12,0,12
2024-01-26,12,0,12
2024-01-27,10,0,10
2024-01-28,8,0,8
2024-01-29,8,0,8
2024-01-30,8,0,8
2024-01-31,10,0,10
2024-02-01,9,0,9
2024-02-02,5,0,5
2024-02-05,2,0,2
2024-02-06,4,0,4
2024-02-07,8,0,8
2024-02-08,10,1,9
2024-02-09,4,0,4
2024-02-10,4,0,4
2024-02-11,2,0,2
2024-02-14,1,1,0
2024-02-15,4,0,4
2024-02-16,12,0,12
2024-02-17,9,0,9
2024-02-18,8,0,8
2024-02-19,12,0,12
2024-02-20,9,1,8
2024-02-21,8,0,8
2024-02-22,8,0,8
2024-02-23,8,0,8
2024-02-24,9,6,3
2024-02-25,2,2,0
2024-02-26,12,12,0
2024-02-27,1,1,0
2024-02-28,6,6,0
2024-02-29,3,3,0
2024-03-01,3,3,0
2024-03-02,3,3,0
2024-03-03,2,2,0
2024-03-04,1,1,0
2024-03-05,2,2,0
2024-03-06,2,2,0
2024-03-10,2,1,1
2024-03-11,8,0,8
2024-03-12,10,2,8
2024-03-13,8,0,8
2024-03-14,7,3,4
2024-03-15,9,1,8
2024-03-16,10,2,8
2024-03-17,9,1,8
2024-03-18,6,0,6
2024-03-19,8,4,4
2024-03-20,8,4,4
2024-03-21,8,4,4
2024-03-22,7,3,4
2024-03-23,6,2,4
2024-03-24,3,0,3
2024-03-26,4,0,4
2024-03-27,4,0,4
2024-03-28,6,2,4
2024-03-29,3,3,0
2024-04-01,6,6,0
2024-04-04,1,1,0
2024-04-05,4,3,1
2024-04-06,6,2,4
2024-04-07,5,1,4
2024-04-08,5,1,4
2024-04-09,6,2,4
2024-04-10,15,9,6
2024-04-11,4,0,4
2024-04-12,3,2,1
2024-04-15,1,1,0
2024-04-16,2,2,0
2024-04-17,1,1,0
2024-04-18,1,1,0
